A=3251 B=7818 C=8817 X=588799155 Y=4369062587 Z=81981453089 M=1973
A=9363 B=6679 C=6039 X=796825047 Y=8004182696 Z=60625288314 M=6857
A=2811 B=6392 C=6926 X=791013055 Y=4628348155 Z=46985030710 M=7664
A=4595 B=7809 C=6349 X=125867081 Y=3407003442 Z=57386497963 M=7676
A=8322 B=6704 C=8489 X=494074185 Y=5848052781 Z=79259807796 M=3387
A=4344 B=3355 C=8612 X=748683393 Y=8037781290 Z=14722479788 M=9821
A=6462 B=4959 C=8476 X=101777831 Y=2464870889 Z=26506937361 M=3501
A=2140 B=9134 C=9181 X=465523094 Y=4229615667 Z=32340366469 M=9517
A=5882 B=7423 C=9067 X=768944202 Y=5950935740 Z=63379479292 M=3737
A=7919 B=7721 C=6790 X=856486103 Y=5814323214 Z=38296654375 M=9941
A=8895 B=3519 C=7704 X=691167915 Y=9929288244 Z=67769459895 M=3627
A=8096 B=4980 C=8590 X=383503593 Y=3501368474 Z=90785988220 M=6882
A=9673 B=3844 C=6802 X=103636185 Y=8626593603 Z=29832184708 M=5354
A=8607 B=8320 C=6191 X=118602179 Y=6236712942 Z=97922604484 M=8090
A=2082 B=5291 C=7210 X=208734781 Y=3203718377 Z=54504217085 M=7833
A=2577 B=4042 C=6837 X=420524062 Y=6180634554 Z=90292599547 M=1276
A=2499 B=8501 C=9576 X=688266142 Y=4826070385 Z=68841120287 M=1327
A=5943 B=9635 C=5431 X=827287214 Y=4594766998 Z=42752014822 M=3190
A=2663 B=3302 C=8681 X=679113402 Y=3824549137 Z=56832070120 M=6022
A=8303 B=7549 C=6679 X=827793023 Y=8513814658 Z=55757351525 M=2354
A=3983 B=6989 C=9067 X=129313540 Y=9138706841 Z=29373564390 M=5706
A=3153 B=9446 C=8131 X=873277044 Y=1725477795 Z=23772211473 M=9682
A=6874 B=5291 C=7089 X=264871887 Y=6126000943 Z=31141127295 M=8233
A=6470 B=9509 C=5108 X=542807699 Y=8149902434 Z=16075942885 M=7615
A=4826 B=7836 C=8321 X=171432736 Y=1435263308 Z=15209259842 M=7363
A=5931 B=5689 C=7644 X=462337930 Y=2316812036 Z=62463152368 M=6356
A=5872 B=8663 C=6395 X=824124097 Y=9474825331 Z=45182630635 M=7088
A=6501 B=4979 C=6624 X=409547738 Y=9970282076 Z=57545920970 M=6181
A=2760 B=9854 C=7228 X=684917554 Y=3183076321 Z=48101784688 M=7683
A=5992 B=6755 C=8651 X=552115324 Y=8272359772 Z=67562172202 M=9207
A=8356 B=8948 C=6706 X=610166449 Y=4776469564 Z=41029972213 M=6365
A=8382 B=8444 C=6083 X=336685473 Y=5370721786 Z=22388084312 M=2991
A=9303 B=8152 C=8735 X=687299375 Y=6372798113 Z=86003151466 M=6828
A=3036 B=3197 C=8059 X=827551362 Y=3822520898 Z=74764969025 M=1225
A=3839 B=9661 C=9984 X=109568864 Y=8803248445 Z=24071076633 M=3191
A=4432 B=8321 C=5862 X=488497406 Y=9454179965 Z=50483157652 M=2564
A=8917 B=9551 C=5541 X=807787084 Y=5771417263 Z=39212789186 M=6563
A=5083 B=6849 C=6645 X=881492778 Y=3527900692 Z=33246781399 M=8069
A=2951 B=3394 C=8392 X=350981365 Y=2084761906 Z=29467902669 M=1033
A=6514 B=4823 C=7655 X=602669444 Y=9675006989 Z=71958348989 M=5247
A=9037 B=8933 C=6122 X=184945829 Y=2231129360 Z=95882699407 M=1622
A=4015 B=6368 C=7113 X=342587801 Y=7122924075 Z=16665303542 M=2119
A=2353 B=4544 C=7681 X=493337715 Y=5609458123 Z=39897269846 M=7586
A=3585 B=5381 C=7275 X=130080516 Y=1904244678 Z=20053239945 M=7931
A=5413 B=3318 C=8325 X=353064500 Y=4205741761 Z=73105797261 M=3374
A=8620 B=3402 C=5782 X=994351814 Y=2295482216 Z=94411247776 M=9155
A=8369 B=7679 C=5670 X=570668395 Y=9539766958 Z=39417372530 M=8559
A=8185 B=7981 C=9934 X=767514092 Y=2417992433 Z=16096046501 M=9737
A=6886 B=9058 C=8798 X=918385218 Y=5218124178 Z=42315699747 M=4247
A=9356 B=6792 C=6568 X=835419109 Y=2201264997 Z=92592130285 M=6149
A=3337 B=7255 C=6538 X=156526640 Y=6750739673 Z=68912619225 M=6660
A=5202 B=9810 C=8605 X=502184301 Y=7824093537 Z=17968165853 M=4873
A=4580 B=6869 C=7922 X=627654090 Y=9801859784 Z=22163033416 M=9011
A=4156 B=6349 C=6454 X=326847174 Y=7356341954 Z=15955950040 M=7205
A=4117 B=4235 C=8518 X=353608099 Y=2817730464 Z=76974482740 M=5372
A=2775 B=4507 C=6693 X=154242012 Y=4069732468 Z=68179363826 M=5678
A=2968 B=8047 C=6822 X=731768836 Y=1941304272 Z=90906249168 M=5073
A=5979 B=4392 C=9575 X=803174534 Y=8604243602 Z=21246100734 M=2907
A=8469 B=4645 C=9109 X=318319183 Y=7141347642 Z=56593641432 M=6365
A=2441 B=3266 C=7035 X=486248816 Y=4792178971 Z=79603622655 M=3619
A=7776 B=4781 C=9953 X=948997651 Y=5328492516 Z=42279339834 M=1718
A=2893 B=5680 C=6388 X=974240816 Y=2983348448 Z=63820535049 M=9594
A=5505 B=7269 C=5029 X=766959341 Y=4477783786 Z=90429921593 M=2454
A=2279 B=8057 C=9421 X=753362887 Y=6718342227 Z=89116404199 M=5930
A=6969 B=7595 C=5732 X=989171015 Y=3021777313 Z=30607793148 M=1081
A=7557 B=6894 C=7595 X=699158757 Y=9123913892 Z=46826253554 M=1913
A=4687 B=4335 C=6550 X=295048764 Y=7839598590 Z=55877734767 M=3129
A=8736 B=5802 C=9749 X=606505787 Y=8434704721 Z=51662230212 M=6926
A=7660 B=9740 C=5686 X=292153147 Y=8160131173 Z=32408336550 M=6063
A=3770 B=8766 C=9967 X=945503489 Y=2009769530 Z=27827754257 M=6870
A=2531 B=8131 C=9573 X=785698333 Y=7086063510 Z=73033318914 M=6757
A=6345 B=6328 C=9841 X=568937839 Y=5058920069 Z=29260168924 M=6069
A=4091 B=5865 C=6532 X=392005619 Y=6577742595 Z=27230687319 M=3381
A=7293 B=7686 C=8898 X=861036502 Y=6654605199 Z=29578136688 M=7575
A=2806 B=6351 C=8728 X=122598240 Y=7855451681 Z=45985545444 M=1912
A=9496 B=6168 C=7493 X=463925959 Y=8460002382 Z=21968117504 M=3544
A=3000 B=4762 C=9888 X=656815643 Y=8354268542 Z=62051882511 M=6208
A=6429 B=4686 C=7059 X=482687881 Y=7692222156 Z=12801570515 M=9800
A=3133 B=8612 C=8340 X=768636473 Y=1021656455 Z=75877486215 M=3926
A=3916 B=7724 C=6300 X=180058355 Y=5005529772 Z=78005332598 M=4763
A=7614 B=4853 C=6714 X=274490852 Y=2457752908 Z=64491191335 M=3157
A=3329 B=5680 C=8806 X=570224043 Y=2184654458 Z=57273579996 M=7129
A=5624 B=7234 C=6073 X=586301471 Y=9963124616 Z=31312363382 M=9219
A=4744 B=5902 C=5013 X=971989386 Y=6178832276 Z=25419224138 M=9647
A=2302 B=6464 C=5570 X=884896389 Y=5473138387 Z=47358742683 M=8478
A=2276 B=5187 C=5488 X=231138910 Y=5561775671 Z=94765964332 M=9802
A=5014 B=4853 C=7285 X=192260681 Y=3845844473 Z=47585168422 M=7426
A=8636 B=6094 C=5986 X=155081202 Y=1409583713 Z=81289079667 M=1507
A=9958 B=6883 C=8517 X=830025666 Y=7612577580 Z=95029499179 M=5229
A=6551 B=6102 C=6263 X=725084422 Y=9314757475 Z=25415956769 M=2791
A=2000 B=4000 C=8000 X=707829789 Y=1845269529 Z=56706555200 M=2000
A=5990 B=9995 C=9756 X=592156421 Y=7641963149 Z=10765460543 M=4834
A=4453 B=3784 C=7940 X=555247074 Y=3123391342 Z=44204519650 M=9767
A=4242 B=3298 C=9055 X=941011428 Y=2733610117 Z=97498489731 M=7725
A=9968 B=3807 C=5716 X=918820998 Y=8570858380 Z=34939213577 M=5269
A=4546 B=3593 C=9140 X=391849785 Y=3555114135 Z=84734384838 M=1550
A=3396 B=8599 C=8574 X=888069170 Y=4659980613 Z=11611533755 M=2922
A=7113 B=7682 C=8024 X=910495188 Y=3427847503 Z=18283860485 M=7238
A=9589 B=9110 C=8958 X=656571547 Y=3221447630 Z=81937728845 M=7447
A=2343 B=8652 C=5928 X=326638233 Y=4313451633 Z=97738258792 M=1106
A=7362 B=5003 C=5681 X=127468743 Y=7588264366 Z=21777824789 M=2526
A=8876 B=9102 C=7059 X=583182674 Y=5353470745 Z=94006844443 M=7088
A=9637 B=5275 C=5906 X=631200000 Y=8780680745 Z=15065730622 M=1275
A=3832 B=3832 C=6148 X=406593630 Y=9492333752 Z=10640687636 M=3906
A=3429 B=9762 C=8644 X=255571872 Y=6673543451 Z=62884816965 M=3182
A=9716 B=3751 C=9105 X=745189627 Y=9630101561 Z=46133450138 M=4772
A=7198 B=3317 C=8416 X=671972773 Y=2508072930 Z=96269056884 M=2443
A=3242 B=7945 C=9308 X=301914198 Y=6425270723 Z=37601280912 M=3329
A=3858 B=8273 C=6905 X=837280476 Y=7680198581 Z=74230918414 M=1759
A=5727 B=3486 C=5991 X=904999270 Y=9406879731 Z=23028845478 M=3293
A=8858 B=7023 C=7991 X=627103877 Y=6073118558 Z=53101615681 M=6718
A=8348 B=3508 C=9813 X=903138923 Y=5856082670 Z=70968486375 M=6143
A=9324 B=6840 C=9302 X=756582842 Y=6407121938 Z=52655601575 M=5872
A=9240 B=4825 C=9347 X=763401713 Y=8336010701 Z=48766140932 M=9618
A=5540 B=5371 C=8454 X=824867370 Y=5093731943 Z=92534421820 M=8136
A=7390 B=7386 C=6434 X=268141354 Y=8039504299 Z=31365772303 M=9647
A=3549 B=3445 C=6179 X=338049192 Y=1839172873 Z=44692253334 M=3445
A=4300 B=6759 C=8417 X=884634675 Y=2940535675 Z=42970016556 M=1746
A=2047 B=8646 C=9607 X=929677929 Y=2477261550 Z=27188127105 M=9327
A=6286 B=5085 C=6534 X=858274215 Y=6867633209 Z=90348700490 M=1545
A=8952 B=5494 C=9653 X=936012119 Y=1977075966 Z=72005978205 M=6215
A=3114 B=6724 C=6227 X=286080870 Y=5379334846 Z=97576935829 M=7869
A=4478 B=6890 C=7721 X=246252515 Y=2340712220 Z=29705220639 M=1324
A=3560 B=7483 C=5097 X=916120546 Y=8400974720 Z=99575182082 M=6090
A=7082 B=3706 C=6127 X=666828790 Y=5501820700 Z=26833469401 M=2745
A=8180 B=5914 C=5378 X=968683140 Y=2687041468 Z=36226700025 M=2348
A=2662 B=4094 C=9028 X=529512255 Y=6885251600 Z=19018252585 M=7997
A=2652 B=9746 C=5208 X=408504291 Y=7005901666 Z=56506592502 M=5148
A=3464 B=3465 C=9893 X=847507925 Y=7369374588 Z=87472001869 M=7571
A=5121 B=6219 C=6070 X=112762717 Y=9094148210 Z=66986219593 M=1060
A=7963 B=8981 C=6769 X=702316384 Y=8773759794 Z=74498814513 M=7348
A=9789 B=6779 C=5771 X=649195857 Y=3903817773 Z=50177978500 M=1348
A=7054 B=3474 C=6855 X=190887027 Y=3193951620 Z=39438210632 M=9085
A=4504 B=6323 C=7456 X=781583232 Y=1020734663 Z=95094836952 M=9184
A=6879 B=4475 C=9615 X=608002912 Y=3156445373 Z=14312984414 M=2843
A=9466 B=6162 C=6410 X=551316393 Y=5925046814 Z=52661159213 M=6801
A=2499 B=7310 C=5931 X=492996867 Y=6671020104 Z=22167792279 M=1542
A=3236 B=9742 C=5014 X=685009709 Y=5284761685 Z=39838526917 M=3322
A=3796 B=9100 C=9394 X=756881700 Y=5811074331 Z=57020273413 M=2876
A=8355 B=7702 C=7867 X=735918839 Y=8589941945 Z=32522599133 M=8436
A=8556 B=5843 C=9406 X=556055670 Y=4956447243 Z=21473328764 M=3467
A=5770 B=9531 C=5391 X=483131355 Y=3989439562 Z=32888713274 M=8811
A=6371 B=6945 C=7428 X=707975853 Y=2903494586 Z=45820949693 M=8330
A=2604 B=6775 C=6450 X=913783022 Y=8192655339 Z=20102001640 M=2549
A=4701 B=5230 C=8672 X=682251958 Y=4792456125 Z=76286921044 M=5251
A=8580 B=7694 C=7390 X=835774927 Y=1290868238 Z=69093856720 M=6460
A=6588 B=3117 C=6248 X=913615758 Y=4763779991 Z=86399454126 M=6874
A=5234 B=9646 C=6826 X=851715723 Y=5782710839 Z=67657189426 M=7869
A=6550 B=5352 C=8120 X=184376505 Y=1128511016 Z=35422498279 M=9227
A=8209 B=3910 C=9848 X=607474389 Y=9027948831 Z=59405504005 M=1299
A=5181 B=4230 C=7803 X=648227763 Y=7187032902 Z=94650005402 M=3233
A=7180 B=4643 C=6370 X=490992658 Y=7862377106 Z=15067353636 M=1216
A=8952 B=4011 C=9642 X=996578178 Y=3136421013 Z=60193053058 M=9279
A=7304 B=3445 C=9064 X=924336022 Y=3919102641 Z=17390612137 M=8750
A=7322 B=6610 C=9042 X=143950181 Y=2672118987 Z=18311149241 M=7053
A=8855 B=7188 C=5087 X=724125558 Y=9334703776 Z=84480015705 M=9817
A=7761 B=9460 C=9720 X=795831216 Y=3579482117 Z=64969944865 M=7811
A=8923 B=3832 C=9117 X=162605566 Y=6638499519 Z=71092071846 M=9980
A=2582 B=3849 C=7526 X=929430531 Y=6551080617 Z=36198778820 M=7545
A=3709 B=7770 C=7232 X=932554361 Y=4958214170 Z=82930031126 M=3275
A=9060 B=3192 C=5337 X=163545435 Y=6962947618 Z=42657942740 M=5098
A=5090 B=3864 C=8460 X=668117290 Y=3762735414 Z=16622441043 M=8976
A=9973 B=4859 C=6933 X=543722037 Y=3654969758 Z=36905628921 M=2990
A=5849 B=9898 C=9036 X=895437894 Y=5073888522 Z=62856861117 M=3866
A=9923 B=5255 C=9979 X=275055913 Y=3128865107 Z=96918416353 M=6503
A=3808 B=3225 C=8261 X=685929787 Y=7065094230 Z=55943243334 M=1115
A=8434 B=6701 C=6477 X=149009414 Y=2964462081 Z=93394220892 M=9775
A=3418 B=5329 C=6050 X=345150077 Y=9966234860 Z=33446835220 M=7450
A=2900 B=9537 C=6974 X=553379328 Y=4383157635 Z=44553615666 M=4581
A=8588 B=7141 C=9438 X=151494115 Y=7219384104 Z=37325726735 M=2269
A=3760 B=6600 C=7711 X=137605058 Y=3110626281 Z=19785803313 M=9640
A=7797 B=6124 C=7675 X=391653229 Y=6862161373 Z=53831914396 M=9305
A=7143 B=8562 C=8965 X=834797900 Y=9922779768 Z=78573262753 M=1065
A=4343 B=6171 C=7738 X=485093733 Y=8847474734 Z=70592904397 M=7456
A=8257 B=8887 C=6972 X=665385002 Y=3122867381 Z=14780267746 M=3591
A=5757 B=8761 C=9659 X=769900838 Y=2275203812 Z=64412336866 M=7856
A=4623 B=7521 C=7780 X=170074171 Y=9233461301 Z=54955514665 M=9408
A=7153 B=4325 C=8199 X=940143159 Y=2116500181 Z=65361982077 M=1555
A=5946 B=8157 C=6371 X=964145413 Y=2464667489 Z=15979668150 M=6548
A=8361 B=7024 C=9467 X=379641102 Y=7981820794 Z=89598281898 M=4380
A=9295 B=3463 C=9860 X=618154806 Y=9006644232 Z=12879489336 M=7260
A=7543 B=5200 C=5897 X=448886451 Y=8926877724 Z=76208913025 M=7426
A=9162 B=9590 C=7765 X=202955160 Y=2088696027 Z=84902452213 M=7655
A=2453 B=3656 C=6479 X=736733053 Y=4117254321 Z=70600876086 M=9870
A=5072 B=8422 C=7003 X=409031546 Y=6121970158 Z=91815196980 M=2566
A=9504 B=6992 C=6108 X=445175810 Y=7922193128 Z=16506056715 M=2121
A=5556 B=3001 C=5622 X=233398174 Y=2593698113 Z=19369048575 M=8553
A=5992 B=3613 C=9350 X=959209250 Y=1653980387 Z=43339513374 M=5508
A=5433 B=6887 C=5694 X=730266047 Y=8412831823 Z=64087653807 M=8740
A=7026 B=9947 C=5376 X=910771882 Y=2719460610 Z=55885250922 M=6392
A=3045 B=7014 C=6728 X=130839374 Y=3946846617 Z=44578618490 M=1995
A=9352 B=6455 C=7840 X=296468415 Y=3376390640 Z=29156888654 M=4679
A=5030 B=8239 C=6765 X=362842136 Y=5418539816 Z=49359395805 M=6728
A=4867 B=5503 C=8141 X=347811193 Y=9095285035 Z=13618064711 M=4490
A=9244 B=3567 C=8509 X=506327004 Y=1554059909 Z=30854307585 M=4581
A=4671 B=4829 C=8726 X=667097420 Y=5092096475 Z=78454668982 M=5625
A=9448 B=5506 C=5394 X=134592909 Y=5217270970 Z=42307810810 M=4466
A=7497 B=3258 C=7847 X=270373153 Y=2976271521 Z=88719192258 M=1948
A=9076 B=9070 C=8267 X=590173411 Y=6364667143 Z=58611167506 M=4848
A=2743 B=6073 C=5094 X=439839386 Y=8891625719 Z=84794042731 M=1719
A=9548 B=7972 C=6371 X=520324408 Y=5410337152 Z=57891608939 M=7140
A=4820 B=9924 C=7670 X=386997619 Y=2186688718 Z=23459425243 M=2802
A=7660 B=8864 C=9041 X=631740827 Y=1620143043 Z=73973086815 M=9686
A=7380 B=8471 C=7007 X=732125069 Y=1174264519 Z=91548133518 M=1506
A=3791 B=4688 C=7463 X=400338349 Y=2871195848 Z=29610970010 M=8662
A=7265 B=7533 C=6140 X=935955950 Y=5490371370 Z=34801669897 M=5591
A=8280 B=4206 C=5292 X=168918069 Y=8138537049 Z=24173684060 M=7735
A=6097 B=3042 C=8627 X=669576915 Y=6682315627 Z=33547463425 M=5183
A=3199 B=9793 C=5339 X=429028550 Y=6326297245 Z=25416852177 M=7675
A=7868 B=7918 C=6493 X=307812843 Y=4672152862 Z=79824562457 M=2651
A=6430 B=3062 C=6587 X=903474388 Y=4831910261 Z=56736061208 M=8571
A=4865 B=5365 C=7034 X=915926969 Y=2705110747 Z=62505500932 M=4886
A=3838 B=9071 C=6375 X=911271324 Y=7692859268 Z=28375933019 M=1661
A=9312 B=7157 C=8255 X=368796447 Y=1681626035 Z=90291458233 M=1560
A=2528 B=6647 C=5568 X=682564416 Y=9145623813 Z=21076895532 M=3902
A=3231 B=4189 C=5181 X=795505166 Y=4117270607 Z=73288352340 M=4850
A=5006 B=6953 C=8913 X=878558851 Y=6606518082 Z=70812246165 M=8613
A=9672 B=7528 C=7226 X=778364280 Y=1577352261 Z=13602767354 M=4397
A=3700 B=6141 C=9367 X=848480475 Y=6069692739 Z=11969894873 M=5097
A=8620 B=8932 C=9740 X=431873713 Y=7716457841 Z=33242656089 M=6081
A=6434 B=3930 C=6179 X=429804833 Y=2255518994 Z=92396156745 M=2648
A=6008 B=7427 C=7730 X=137798825 Y=1475386782 Z=12742976729 M=2896
A=2361 B=8862 C=6895 X=715811532 Y=3030286980 Z=95381598203 M=3221
A=7763 B=5575 C=7370 X=552371548 Y=1411815121 Z=92690589433 M=5205
A=8370 B=3706 C=8539 X=815117684 Y=5715014615 Z=15052310150 M=2441
A=9978 B=7441 C=8830 X=879637007 Y=5554216666 Z=75468225533 M=4861
A=5753 B=5229 C=6118 X=593025596 Y=1116606283 Z=98371104156 M=9042
A=7076 B=5302 C=8575 X=459441311 Y=8235381917 Z=94658675117 M=9647
A=3894 B=5052 C=9712 X=843454889 Y=1065610063 Z=79555275704 M=1634
A=2973 B=5407 C=5440 X=382787047 Y=8076429017 Z=84845276015 M=6237
A=3213 B=8355 C=7755 X=207107179 Y=2706516983 Z=31816561005 M=8293
A=5412 B=9476 C=6734 X=944072060 Y=9807173375 Z=66738956293 M=9316
A=4776 B=6724 C=8394 X=685713640 Y=8790890979 Z=58275494152 M=2467
A=3870 B=5658 C=5308 X=312772539 Y=2725239178 Z=25650228846 M=3042
A=3207 B=8633 C=7867 X=145388073 Y=2273013911 Z=41538029889 M=5786
A=9902 B=5800 C=7336 X=916291777 Y=7914136699 Z=43282767262 M=6917
A=7628 B=9900 C=5550 X=492927925 Y=6318995706 Z=29767478386 M=2261
A=6982 B=8515 C=7467 X=637941229 Y=9125201738 Z=81526018213 M=5603
A=8059 B=8178 C=9731 X=596997047 Y=1984292298 Z=41580937990 M=2298
A=5669 B=4486 C=6972 X=228749989 Y=2727538284 Z=96315934941 M=1437
A=3673 B=7296 C=9220 X=361317807 Y=1171723641 Z=35561900040 M=1011
A=2926 B=4934 C=6099 X=432736087 Y=7396214785 Z=55330079991 M=2915
A=4788 B=8693 C=5864 X=408928521 Y=5102210150 Z=40120450359 M=2390
A=5235 B=5406 C=6379 X=927428559 Y=3614114213 Z=39582165616 M=1058
A=4504 B=9650 C=6644 X=365766459 Y=3929446690 Z=94958219517 M=8869
A=3126 B=3223 C=9090 X=546585875 Y=3949871649 Z=73449044301 M=7973
A=4278 B=8530 C=7809 X=742168193 Y=8127233130 Z=84541021005 M=7207
A=8137 B=4118 C=7120 X=521925712 Y=3887007498 Z=92071288813 M=3660
A=8621 B=7111 C=5912 X=105256921 Y=3405055583 Z=95187975214 M=4543
A=2114 B=3506 C=8508 X=782425070 Y=6480798895 Z=38301503290 M=2436
A=4415 B=9396 C=8141 X=671349247 Y=3079878946 Z=17152805100 M=1240
A=5568 B=6055 C=6833 X=742391727 Y=7186534859 Z=62700611860 M=3755
A=6215 B=8950 C=9804 X=976949725 Y=3752451514 Z=25622867756 M=4656
A=6614 B=8991 C=9670 X=571830169 Y=2237912392 Z=62006896473 M=4032
A=5100 B=5403 C=8635 X=424723479 Y=7295951044 Z=58954517758 M=1150
A=6981 B=8977 C=7024 X=364900972 Y=1458590580 Z=21988602128 M=9591
A=4146 B=5200 C=6842 X=195377870 Y=4128986596 Z=13307661143 M=7505
A=2356 B=3932 C=9603 X=701932568 Y=7242829792 Z=36990538608 M=8412
A=3986 B=5688 C=6208 X=250147236 Y=8371181354 Z=96650821767 M=3948
A=3214 B=7166 C=9047 X=214330548 Y=6046642494 Z=59470176483 M=2309
A=7786 B=5294 C=8451 X=508801757 Y=8195966481 Z=77132238260 M=7690
A=4419 B=9794 C=7915 X=437457554 Y=7421884236 Z=70971661975 M=2154
A=9245 B=6863 C=5656 X=831641389 Y=4580842655 Z=31725299866 M=3435
A=3787 B=4309 C=9484 X=779617631 Y=9545605147 Z=97643940408 M=9416
A=2184 B=9992 C=5660 X=798587927 Y=7191872776 Z=66227278140 M=9537
A=4901 B=3664 C=6207 X=588019770 Y=2090532501 Z=43084810649 M=5342
A=6701 B=5525 C=6851 X=739762601 Y=1643636894 Z=73787372494 M=5514
A=7470 B=7663 C=7185 X=398994074 Y=2705475530 Z=72836694290 M=2369
A=7763 B=8668 C=9240 X=462250737 Y=2357509061 Z=50014865075 M=6997
A=8998 B=7276 C=9409 X=794839700 Y=7902508191 Z=76511529496 M=1853
A=9002 B=8240 C=7650 X=412375378 Y=2637620995 Z=45714011787 M=6745
A=4952 B=3607 C=9460 X=653210791 Y=3015228497 Z=33210843884 M=7527
A=5666 B=6495 C=8036 X=218870010 Y=7075695420 Z=84614143364 M=4872
A=5294 B=7784 C=5140 X=281944542 Y=4590156158 Z=60587754343 M=5947
A=9890 B=4235 C=7412 X=747042545 Y=7241675263 Z=87912731582 M=8558
A=2759 B=8885 C=5727 X=766505261 Y=5030478352 Z=12346786457 M=6362
A=4171 B=9502 C=5763 X=726440931 Y=3902964713 Z=86820175897 M=4311
A=6470 B=7149 C=8371 X=818989886 Y=7915220920 Z=74903514714 M=3071
A=9615 B=5684 C=6530 X=742037092 Y=6791944225 Z=74795736839 M=8311
A=3670 B=6297 C=7367 X=135892418 Y=3244101529 Z=34244173483 M=9037
A=3685 B=7840 C=9800 X=146463258 Y=8715097026 Z=73199164202 M=9006
A=4343 B=4530 C=8222 X=826488900 Y=5576520109 Z=32116111786 M=5174
A=7549 B=7552 C=8999 X=445584811 Y=3470479290 Z=58698039842 M=3863
A=2578 B=3223 C=6512 X=297065745 Y=1811382900 Z=14427101056 M=2007
A=7244 B=6237 C=5460 X=135252252 Y=2202662324 Z=71502943404 M=8633
A=3872 B=3543 C=9118 X=849568909 Y=2576857717 Z=47687940506 M=3020
A=4687 B=5517 C=8729 X=314308570 Y=4898565498 Z=53870820122 M=4987
A=4409 B=8778 C=9971 X=482346372 Y=3411030528 Z=98934115667 M=8422
A=5399 B=7073 C=9487 X=359887539 Y=7403896648 Z=29197786594 M=3071
A=3015 B=4071 C=5052 X=348913088 Y=6635504664 Z=45666682500 M=4656
A=7979 B=5915 C=9168 X=539842216 Y=3514322377 Z=38111786379 M=2290
A=2213 B=9998 C=9009 X=582633624 Y=9860318308 Z=98594500707 M=7138
A=5882 B=3611 C=5451 X=997737026 Y=4556037817 Z=35652700844 M=6724
A=7260 B=3026 C=6278 X=796393352 Y=8571925009 Z=97443793891 M=9533
A=8473 B=3152 C=5815 X=458283821 Y=9100077305 Z=47837349116 M=7102
A=3655 B=5279 C=5670 X=304204749 Y=2303791569 Z=80638358082 M=9474
A=6811 B=4678 C=9337 X=116677449 Y=3747585574 Z=44534995872 M=7003
A=7573 B=6368 C=9461 X=192818646 Y=5692904453 Z=31502870477 M=7226
A=4245 B=3682 C=6434 X=686789847 Y=6178603272 Z=34245966045 M=2898
A=7310 B=9002 C=6368 X=293830176 Y=9647084038 Z=18394885174 M=3721
A=6045 B=4504 C=5746 X=959156892 Y=7660682079 Z=33154752945 M=5280
A=3333 B=5649 C=7798 X=461458818 Y=6517148745 Z=25532649209 M=7373
A=9539 B=5391 C=6196 X=657830710 Y=8659192332 Z=98876448615 M=3775
A=5355 B=5513 C=5120 X=238492729 Y=9426946497 Z=43473319332 M=1009
A=8144 B=4893 C=7276 X=829308140 Y=6915839307 Z=96300544406 M=7259
A=8477 B=5592 C=6172 X=577801460 Y=2231347937 Z=81897481189 M=6938
A=2697 B=4456 C=6930 X=740701425 Y=9380154769 Z=51590913598 M=9098
A=5908 B=8469 C=8205 X=629898062 Y=4132327989 Z=26637505580 M=2136
A=5224 B=3227 C=8608 X=673996667 Y=6348155897 Z=32095608918 M=9025
A=9769 B=6805 C=7168 X=172055393 Y=3341050596 Z=70575801379 M=6636
A=8645 B=6615 C=9800 X=941124556 Y=7437216739 Z=84016939533 M=6980
A=2253 B=8506 C=5921 X=909378881 Y=5318780126 Z=50707861449 M=2182
A=5375 B=4536 C=5048 X=906496905 Y=3946213867 Z=69060738086 M=6627
A=3439 B=5167 C=6573 X=292944923 Y=2293758295 Z=48581292291 M=9321
A=5151 B=5836 C=6560 X=924667909 Y=9880553200 Z=36719063386 M=8107
A=8264 B=8879 C=9198 X=636916832 Y=3227813230 Z=85967732151 M=8219
A=4049 B=4230 C=6866 X=740694666 Y=7652327605 Z=88929138316 M=7354
A=4562 B=4812 C=6615 X=387220062 Y=1873195418 Z=93769619150 M=4295
A=9598 B=3788 C=6473 X=717250610 Y=7394908439 Z=84229463524 M=9135
A=5668 B=3409 C=6918 X=847756984 Y=9499852447 Z=82617157722 M=6590
A=4207 B=5167 C=8093 X=441875299 Y=7817682344 Z=29161457615 M=3446
A=3008 B=5918 C=7665 X=304351902 Y=8913535957 Z=18894283821 M=8591
A=9359 B=5091 C=8319 X=234828661 Y=3387428844 Z=41837363438 M=9278
A=5267 B=9247 C=5999 X=922828113 Y=3445646506 Z=78125151837 M=2277
A=8704 B=8492 C=6288 X=991420193 Y=2956497502 Z=50957157182 M=7483
A=7968 B=3776 C=7071 X=236214857 Y=8134501426 Z=19633231321 M=9837
A=8913 B=3215 C=9196 X=219315261 Y=8144985410 Z=29419169364 M=8000
A=4004 B=8661 C=9557 X=678378715 Y=6234379941 Z=69041588616 M=5665
A=5064 B=3929 C=5883 X=159402375 Y=2773683967 Z=23077620280 M=8689
A=6200 B=3654 C=8040 X=956577824 Y=6342327530 Z=79799318037 M=7375
A=9389 B=7280 C=8240 X=789493347 Y=1894266885 Z=75485991198 M=1796
A=2807 B=6192 C=5332 X=316621363 Y=1965217571 Z=33194375529 M=2129
A=4069 B=5743 C=8424 X=492969058 Y=8272529468 Z=77424816849 M=6652
